,Ticker,Date,시가총액(억),보유비중(%),거래비중(%),보유자수(명),내부보유금액(억),24시간 순입금(억),전일대비유통량증감(%),24시간 거래금액(억),체결강도(%),가격,빗썸유통비율(%),거래금액/내부보유금액(%),순입금/내부보유금액(%),1주일 상승률(%),1개월 상승률(%),3개월 상승률(%)
182,LBL,2024/04/02,157.0,20,28,19779,102.32,0.14,-0.14,6.6,70.69,0,65.17,6.45,0.14,-10.26,-19.45,152.28
183,FLZ,2024/04/02,0.0,73,41,9916,90.29,0.0,-0.01,3.1,29.91,3256,0.0,3.43,0.0,-6.75,-11.61,-2.83
184,LM,2024/04/02,285.0,0,16,23215,242.85,1.7,0.55,74.7,69.44,0,85.21,30.76,0.7,15.54,79.83,84.74
185,GRND,2024/04/02,243.0,33,42,17501,69.44,-0.48,-0.5,14.0,61.71,273,28.58,20.16,-0.69,-10.19,18.18,51.66
186,APT,2024/04/02,84177.0,25,37,5300,133.3,2.7,-0.14,94.8,84.69,22490,0.16,71.12,2.03,-10.93,34.42,56.28
187,BLUR,2024/04/02,10923.0,11,54,11544,117.86,5.1,2.1,23.0,78.91,768,1.08,19.51,4.33,-11.11,-21.06,8.16
188,WEMIX,2024/04/02,10025.0,13,22,161592,1386.47,3.3,-0.13,86.7,51.67,2895,13.83,6.25,0.24,-12.93,-24.82,-19.91
189,OAS,2024/04/02,2299.0,23,35,10641,226.38,-6.8,8.3,38.1,44.25,118,9.85,16.83,-3.0,-13.86,-32.95,-19.72
190,HOOK,2024/04/02,2405.0,30,59,4106,33.66,-1.6,-2.73,10.1,54.95,1901,1.4,30.01,-4.75,-14.98,-0.47,32.65
191,ENTC,2024/04/02,0.0,29,37,22259,158.39,7.6,4.92,300.0,123.23,340,0.0,189.41,4.8,-22.77,101.78,59.15
192,ONIT,2024/04/02,442.0,29,27,9283,81.69,-0.22,-0.24,12.0,64.86,0,18.48,14.69,-0.27,-5.28,31.66,51.3
193,OP,2024/04/02,44583.0,18,47,9471,188.97,-1.1,0.12,15.1,85.31,4717,0.42,7.99,-0.58,-13.44,-12.48,-2.72
194,ROA,2024/04/02,233.0,9,28,23496,212.3,3.0,1.02,36.6,54.62,0,91.12,17.24,1.41,-7.67,13.32,14.11
195,GMX,2024/04/02,5373.0,36,49,2055,24.7,-0.03,-0.21,2.8,87.51,60000,0.46,11.34,-0.12,-8.6,-23.9,-22.48
196,STX,2024/04/02,66516.0,21,32,31144,536.93,-14.4,-1.0,172.4,86.35,4884,0.81,32.11,-2.68,0.18,13.97,123.01
197,XPLA,2024/04/02,1847.0,17,17,27189,219.59,0.01,-0.08,21.9,38.65,374,11.89,9.97,0.0,-10.95,14.72,29.41
198,ARB,2024/04/02,53333.0,29,46,15231,286.46,3.5,0.99,38.4,70.9,2135,0.54,13.41,1.22,-10.74,-23.06,-22.05
199,INJ,2024/04/02,41220.0,15,43,7733,157.64,9.5,2.11,24.0,45.87,46950,0.38,15.22,6.03,-14.55,-14.24,-9.27
200,HFT,2024/04/02,2146.0,28,66,2320,29.27,0.0,0.0,12.3,141.84,596,1.36,42.02,0.0,-9.0,-12.48,17.55
201,RPL,2024/04/02,8062.0,25,48,4257,34.78,-3.1,-2.95,28.0,178.47,42550,0.43,80.51,-8.91,-6.44,-3.92,9.52
202,IMX,2024/04/02,52965.0,33,54,5797,70.63,0.18,0.25,5.3,79.0,3968,0.13,7.5,0.25,-5.56,-12.32,33.1
203,CFX,2024/04/02,19691.0,16,30,8053,115.21,21.8,-0.09,126.8,50.05,543,0.59,110.06,18.92,-19.55,24.54,118.95
204,ACS,2024/04/02,1538.0,21,50,5589,61.64,-2.6,-2.53,10.4,99.93,0,4.01,16.87,-4.22,-5.6,5.95,21.11
205,FXS,2024/04/02,7369.0,38,58,2068,25.2,-0.69,-0.01,3.6,115.36,9935,0.34,14.29,-2.74,-10.33,-22.44,-17.0
206,CELO,2024/04/02,8051.0,15,42,5744,79.92,0.41,-0.74,24.9,82.77,1603,0.99,31.16,0.51,-15.45,4.7,56.08
207,LDO,2024/04/02,31886.0,21,56,4131,42.08,0.06,-1.69,4.8,65.27,3799,0.13,11.41,0.14,-14.61,-16.22,-15.4
208,FTM,2024/04/02,34994.0,39,63,4107,61.87,-0.05,0.0,9.8,86.53,1333,0.18,15.84,-0.08,-10.23,41.5,127.47
209,FET,2024/04/02,30907.0,10,40,14718,542.53,-8.6,-0.08,70.1,91.15,3896,1.76,12.92,-1.59,-15.06,58.43,316.68
210,SUI,2024/04/02,32612.0,65,39,12613,336.72,-0.51,-0.02,77.9,81.35,2685,1.03,23.13,-0.15,-10.32,29.71,136.98
211,NCT,2024/04/02,614.0,27,28,15648,114.85,-2.1,-1.34,14.3,69.65,0,18.71,12.45,-1.83,-19.29,48.71,150.36
212,FLOKI,2024/04/02,27936.0,8,45,31011,414.89,-10.5,-0.98,145.9,83.58,0,1.49,35.17,-2.53,-5.49,45.1,614.22
213,ALEX,2024/04/02,3964.0,18,19,12501,583.99,5.4,0.46,70.2,38.12,701,14.73,12.02,0.92,8.34,21.07,56.47
214,ID,2024/04/02,6384.0,47,74,11634,211.65,-114.6,-24.53,198.6,34.95,1319,3.32,93.83,-54.15,-25.52,46.88,186.11
215,RNDR,2024/04/02,49041.0,16,40,11052,326.2,-0.01,-0.01,26.1,88.64,13670,0.67,8.0,-0.0,-16.13,33.49,127.83
216,STG,2024/04/02,1963.0,61,60,2628,89.47,-0.91,-0.99,17.0,135.52,1022,4.56,19.0,-1.02,-2.48,5.14,32.72
217,OSMO,2024/04/02,11074.0,16,55,3695,35.93,-0.03,-0.04,4.0,33.81,1815,0.32,11.13,-0.08,-6.0,-19.76,-17.5
218,GAL,2024/04/02,6401.0,28,63,6932,84.04,-0.51,-0.01,8.2,84.59,6480,1.31,9.76,-0.61,-13.6,38.19,123.91
219,ILV,2024/04/02,6589.0,25,50,3345,34.29,0.0,-0.01,7.8,60.08,186500,0.52,22.75,0.0,-11.69,14.76,55.8
220,MAV,2024/04/02,2432.0,16,38,5505,163.39,2.2,0.92,112.5,82.18,1027,6.72,68.85,1.35,14.87,6.86,41.46
221,RSS3,2024/04/02,3384.0,51,55,10679,338.74,-0.74,-0.01,56.4,71.17,683,10.01,16.65,-0.22,-17.21,106.96,335.03
222,AUDIO,2024/04/02,4396.0,36,54,3757,33.93,-0.26,-0.49,5.6,90.9,389,0.77,16.5,-0.77,-8.47,-19.95,32.31
223,AGI,2024/04/02,3227.0,8,17,54498,2332.42,15.6,0.34,421.6,62.62,502,72.28,18.08,0.67,-26.39,41.01,659.22
224,RDNT,2024/04/02,1961.0,72,52,3904,59.01,35.6,152.13,3.5,68.93,438,3.01,5.93,60.33,-7.0,-20.36,-7.2
225,ASTR,2024/04/02,9421.0,13,45,9702,139.59,0.92,0.59,21.2,47.14,180,1.48,15.19,0.66,-10.89,-20.7,-22.41
226,WLD,2024/04/02,16277.0,10,29,78393,3323.47,31.5,-0.01,623.5,88.77,10180,20.42,18.76,0.95,-20.28,-7.78,139.41
227,FLUX,2024/04/02,5357.0,20,51,3479,41.25,-0.37,-0.89,7.1,62.51,1663,0.77,17.21,-0.9,-12.84,11.91,108.65
228,RVN,2024/04/02,8409.0,18,34,7369,383.03,7.6,-1.17,146.5,63.88,0,4.56,38.25,1.98,33.49,65.01,138.77
229,LEVER,2024/04/02,965.0,43,60,5887,87.27,10.1,6.55,43.8,170.13,0,9.04,50.19,11.57,-10.28,-3.8,68.2
230,EDU,2024/04/02,3556.0,28,52,9426,49.03,-0.2,-0.42,9.7,99.87,1343,1.38,19.78,-0.41,-16.16,0.37,51.92
231,SEI,2024/04/02,26355.0,21,49,14843,394.66,12.9,1.81,85.2,64.44,1052,1.5,21.59,3.27,-14.47,-3.83,-3.3
232,WAXL,2024/04/02,0.0,9,38,12502,168.16,5.3,3.18,42.1,34.12,2556,0.0,25.04,3.15,-10.81,-19.52,0.0
233,MOC,2024/04/02,651.0,32,53,6311,43.5,-0.84,-1.56,15.8,97.33,159,6.68,36.32,-1.93,-13.11,1.27,29.26
234,PEPE,2024/04/02,41150.0,13,45,31432,450.56,1.8,2.37,216.7,63.9,0,1.09,48.1,0.4,-5.4,0.96,517.64
235,CYBER,2024/04/02,3402.0,33,51,7559,96.76,-1.9,-1.98,16.1,112.54,18470,2.84,16.64,-1.96,0.1,36.51,72.45
236,ARKM,2024/04/02,5206.0,9,32,24148,974.59,-9.1,-0.91,381.5,98.49,3692,18.72,39.14,-0.93,-10.97,4.88,346.97
237,PYR,2024/04/02,2585.0,24,39,4085,26.58,0.0,-0.01,4.5,71.12,9855,1.03,16.93,0.0,-9.0,-16.76,-6.85
238,IOTX,2024/04/02,8773.0,19,38,9644,38.03,3.8,3.14,12.8,69.5,0,0.43,33.66,9.99,-12.23,17.38,43.11
239,HIGH,2024/04/02,1588.0,59,69,10221,73.15,19.0,21.14,59.2,91.67,3354,4.61,80.93,25.97,9.57,10.0,64.33
240,PENDLE,2024/04/02,16832.0,27,51,6033,94.45,0.61,0.64,55.4,78.01,7595,0.56,58.66,0.65,24.1,73.16,305.49
241,STORJ,2024/04/02,3874.0,6,50,4116,54.35,2.7,5.45,9.6,49.95,997,1.4,17.66,4.97,-11.84,-11.53,16.74
242,API3,2024/04/02,3829.0,21,58,5654,30.16,0.0,-0.01,2.4,99.17,4754,0.79,7.96,0.0,-14.49,-7.23,91.84
243,ZTX,2024/04/02,662.0,26,31,9329,135.56,-0.64,-0.36,10.8,63.41,0,20.48,7.97,-0.47,-9.18,-32.27,2.88
244,MNT,2024/04/02,51776.0,17,50,11277,139.38,-2.4,-0.35,20.8,57.56,1713,0.27,14.92,-1.72,-9.5,37.14,0.0
245,GTC,2024/04/02,1653.0,27,59,3838,50.08,-0.92,-1.02,13.2,63.66,2661,3.03,26.36,-1.84,-6.5,-1.15,0.0
246,TIA,2024/04/02,29506.0,10,49,9622,133.34,4.4,1.37,14.9,56.52,18040,0.45,11.17,3.3,-8.88,-17.81,-13.64
247,ZBC,2024/04/02,2203.0,40,23,27818,850.51,0.6,0.13,139.1,60.38,0,38.61,16.35,0.07,-15.74,108.3,134.04
248,SPURS,2024/04/02,164.0,30,47,6535,46.54,-0.2,-0.85,4.5,57.07,4799,28.38,9.67,-0.43,-0.53,1.88,-1.03
249,NEO,2024/04/02,14099.0,29,48,4755,55.35,-0.12,0.38,7.1,111.42,21270,0.39,12.83,-0.22,-6.95,-16.88,0.0
250,GAS,2024/04/02,5646.0,0,51,9650,45.15,0.06,-0.03,6.3,94.44,8940,0.8,13.95,0.13,-13.62,-14.85,0.0
251,HIFI,2024/04/02,1730.0,43,39,9823,124.54,-3.1,-2.46,40.7,80.57,1527,7.2,32.68,-2.49,-15.35,43.78,75.92
252,BIGTIME,2024/04/02,3063.0,7,41,18283,351.17,7.6,1.33,66.6,71.96,445,11.46,18.97,2.16,-17.28,-33.68,-10.64
253,GRS,2024/04/02,742.0,21,36,2682,53.03,-0.73,-0.32,13.7,104.18,880,7.15,25.83,-1.38,-8.8,0.0,0.0
254,ARK,2024/04/02,2394.0,8,48,5768,57.25,1.1,1.78,11.5,99.45,1359,2.39,20.09,1.92,-13.49,-6.01,0.0
255,YGG,2024/04/02,6480.0,26,48,5168,147.08,-12.4,-4.12,65.2,115.25,2175,2.27,44.33,-8.43,24.92,135.38,0.0
256,HUNT,2024/04/02,824.0,27,51,5143,45.41,0.95,2.84,10.0,49.06,651,5.51,22.02,2.09,-18.11,0.0,0.0
257,KAVA,2024/04/02,14368.0,37,52,1999,23.57,0.6,-3.1,16.3,121.34,1415,0.16,69.16,2.55,-0.56,3.36,0.0
258,STMX,2024/04/02,1396.0,36,49,3008,39.96,-0.97,-2.17,6.2,122.36,0,2.86,15.52,-2.43,-16.52,1.01,36.94
259,MAGIC,2024/04/02,3490.0,12,42,3947,51.2,0.94,0.31,13.8,69.96,1420,1.47,26.95,1.84,-13.78,-23.81,0.0
260,USDT,2024/04/02,1416218.0,38,34,24728,365.18,-26.3,7.31,1653.0,293.46,1444,0.03,452.65,-7.2,1.33,3.66,7.52
261,USDC,2024/04/02,441480.0,0,79,1897,24.14,-2.1,-9.77,9.5,202.03,1446,0.01,39.35,-8.7,1.18,3.87,7.66
262,RAD,2024/04/02,1872.0,35,54,11832,42.94,-7.1,-0.45,15.3,68.95,3864,2.29,35.63,-16.53,-12.61,12.55,0.0
263,LSK,2024/04/02,3120.0,25,46,2323,45.05,0.14,0.31,8.8,88.83,2574,1.44,19.53,0.31,-10.15,8.37,0.0
264,TT,2024/04/02,809.0,27,52,4042,25.85,-0.11,-0.3,3.6,125.97,0,3.2,13.93,-0.43,-11.03,-3.69,0.0
265,ACE,2024/04/02,2577.0,18,41,15875,356.46,11.0,1.06,58.6,69.42,12510,13.83,16.44,3.09,-19.91,-34.8,11.0
266,IQ,2024/04/02,3146.0,14,31,7245,82.88,4.5,4.33,28.1,39.83,0,2.63,33.9,5.43,-17.58,0.0,0.0
267,PYTH,2024/04/02,17715.0,8,35,12443,252.9,-7.9,-1.38,98.2,66.98,1256,1.43,38.83,-3.12,-4.77,36.22,0.0
268,MANTA,2024/04/02,9361.0,14,44,17690,252.78,1.3,0.28,21.7,77.45,3977,2.7,8.58,0.51,-11.73,3.89,0.0
269,JUP,2024/04/02,29264.0,9,30,12757,669.92,-14.6,-0.57,320.5,79.99,2293,2.29,47.84,-2.18,24.61,173.62,0.0
270,STRK,2024/04/02,19036.0,11,27,34672,1059.63,4.7,0.31,121.0,68.51,2791,5.57,11.42,0.44,-13.53,10.75,0.0
271,SC,2024/04/02,7014.0,14,33,6256,64.6,2.9,0.79,19.1,48.13,0,0.92,29.57,4.49,-12.92,0.0,0.0
272,STRAX,2024/04/02,0.0,6,41,43739,119.29,1.2,1.81,83.4,64.25,165,0.0,69.91,1.01,-14.94,0.0,0.0
